eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,416,7.268969e-05,0.0,2.8390856,-0.001538778,0.43516555,-0.06478655338287354,1,2048,4.921657632992719,2048
nan,nan,546,8.1094404e-05,0.0,2.8433743,-0.00039844966,0.049907498,0.49074065685272217,2,4096,8.68394790799357,4096
nan,nan,561,5.5161036e-05,0.0,2.8477974,-0.00041928334,0.2266368,0.21235209703445435,3,6144,12.332503287994768,6144
nan,nan,528,9.722008e-05,0.0,2.8478687,-0.0006436171,0.2023084,0.5577523410320282,4,8192,16.20814223999332,8192
nan,nan,565,0.00018960048,0.0,2.8449702,-0.00061678374,0.0014107804,0.7733155786991119,5,10240,19.829092763000517,10240
